,price(£),mileage(mi),door_count,body_style,engine_size(cc),transmission,year,brand,model
5434,5640,40600.0,5.0,Hatchback,998.0,Manual,2017.0,Hyundai,I10
5435,7750,57800.0,5.0,Hatchback,1968.0,Manual,2015.0,Skoda,Octavia
5436,8295,46000.0,5.0,Hatchback,1390.0,Manual,2013.0,Volkswagen,Golf
5437,2799,57625.0,5.0,Hatchback,1242.0,Manual,2009.0,Suzuki,Splash
5438,7125,21186.0,5.0,Hatchback,1000.0,Manual,2017.0,Kia,Picanto
5439,13398,13680.0,5.0,Hatchback,1598.0,Manual,2019.0,Skoda,Octavia
5440,11900,13650.0,5.0,Hatchback,1560.0,Manual,2017.0,Peugeot,308
5441,7995,22623.0,3.0,Hatchback,1398.0,Manual,2017.0,Vauxhall,Corsa
5442,2395,139678.0,5.0,Hatchback,1995.0,Manual,2010.0,BMW,1
5443,25944,6000.0,5.0,Hatchback,2000.0,Automatic,2020.0,Mercedes-Benz,B
5444,21499,2479.0,5.0,Hatchback,1580.0,Automatic,2019.0,Hyundai,Ioniq
5445,12500,31436.0,5.0,Hatchback,1598.0,Manual,2016.0,Mini,Countryman
5446,10995,14130.0,5.0,Hatchback,898.0,Manual,2018.0,Renault,Captur
5447,4495,50302.0,5.0,Hatchback,1398.0,Manual,2012.0,Vauxhall,Corsa
5448,12999,16999.0,5.0,Hatchback,1995.0,Manual,2016.0,Mini,Hatch
5449,8699,46171.0,5.0,Hatchback,1500.0,Manual,2016.0,Nissan,Juke
5450,7870,8918.0,5.0,Hatchback,998.0,Manual,2018.0,Kia,Picanto
5451,13980,10711.0,5.0,Hatchback,2000.0,Manual,2018.0,Mazda,3
5452,10498,21266.0,5.0,Hatchback,1199.0,Automatic,2018.0,Peugeot,308
5453,8998,24413.0,5.0,Hatchback,898.0,Manual,2016.0,Renault,Captur
5454,4995,45000.0,5.0,Hatchback,998.0,Manual,2015.0,Kia,Picanto
5455,12899,47440.0,5.0,Hatchback,2143.0,Automatic,2015.0,Mercedes-Benz,A
5456,9349,25000.0,3.0,Hatchback,1198.0,Manual,2016.0,Mini,Hatch
5457,7348,15781.0,5.0,Hatchback,1329.0,Manual,2014.0,Toyota,Yaris
5458,11999,12000.0,3.0,Hatchback,1368.0,Manual,2017.0,Fiat,500
5459,10190,14713.0,5.0,Hatchback,898.0,Manual,2019.0,Renault,Clio
5460,5215,71074.0,5.0,Hatchback,1598.0,Manual,2010.0,Nissan,Juke
5461,13399,15853.0,5.0,Hatchback,1400.0,Manual,2018.0,Vauxhall,Mokka
5462,16450,2311.0,5.0,Hatchback,1000.0,Manual,2019.0,Ford,EcoSport
5463,4995,92000.0,5.0,Hatchback,1560.0,Manual,2014.0,Ford,Focus
5464,10990,22893.0,3.0,Hatchback,1998.0,Manual,2015.0,Mini,Hatch
5465,20950,201.0,5.0,Hatchback,1998.0,Automatic,2019.0,Mini,Hatch
5466,5999,23110.0,5.0,Hatchback,1000.0,Manual,2017.0,Vauxhall,Viva
5467,16000,14000.0,5.0,Hatchback,1499.0,Automatic,2017.0,Mini,Hatch
5468,9695,18590.0,5.0,Hatchback,999.0,Manual,2018.0,Skoda,Fabia
5469,4250,65000.0,5.0,Hatchback,1120.0,Manual,2014.0,Kia,Rio
5470,8490,18500.0,5.0,Hatchback,1200.0,Manual,2017.0,Citroen,C4
