,price(£),mileage(mi),door_count,body_style,engine_size(cc),transmission,year,brand,model,luxury_brand,brand_new,old,sports_car
3228,23060,27830.0,2.0,Coupe,2143.0,Automatic,2016.0,Mercedes-Benz,C,1,0,0,0
3229,9499,38954.0,3.0,Coupe,1598.0,Manual,2016.0,Mini,Paceman,0,0,0,0
3230,28250,1813.0,2.0,Coupe,2000.0,Automatic,2019.0,Mercedes-Benz,C,1,1,0,0
3231,27998,12035.0,2.0,Coupe,2143.0,Automatic,2017.0,Mercedes-Benz,C,1,0,0,0
3232,94990,5907.0,2.0,Coupe,5204.0,Automatic,2017.0,Aston-Martin,DB11,1,1,0,1
3233,18999,22242.0,2.0,Coupe,3000.0,Automatic,2015.0,BMW,4,1,0,0,1
3234,57500,21342.0,2.0,Coupe,5204.0,Manual,2015.0,Audi,R8,1,0,0,1
3235,13350,14761.0,3.0,Coupe,1968.0,Manual,2017.0,Seat,Leon,0,0,0,0
3236,34990,92.0,2.0,Coupe,2993.0,Automatic,2019.0,BMW,4,1,1,0,1
3237,5791,62000.0,2.0,Coupe,2000.0,Manual,2011.0,Mini,Coupe,0,0,0,0
3238,11200,59406.0,2.0,Coupe,1968.0,Manual,2013.0,Audi,TT,1,0,0,0
3239,17990,58450.0,2.0,Coupe,4000.0,Automatic,2010.0,BMW,M3,1,0,0,1
3241,23400,23954.0,2.0,Coupe,2979.0,Automatic,2017.0,BMW,6,1,0,0,1
3242,10999,32461.0,3.0,Coupe,1995.0,Automatic,2015.0,Mini,Coupe,0,0,0,0
3243,6700,16878.0,3.0,Coupe,1390.0,Manual,2013.0,Seat,Ibiza,0,0,0,0
3244,5295,58053.0,2.0,Coupe,1598.0,Manual,2011.0,Peugeot,RCZ,0,0,0,0
3245,21499,25328.0,2.0,Coupe,2993.0,Automatic,2017.0,BMW,4,1,0,0,1
3246,7899,39790.0,3.0,Coupe,1598.0,Manual,2013.0,Mini,Paceman,0,0,0,0
3247,3990,96500.0,2.0,Coupe,1995.0,Manual,2007.0,BMW,3,1,0,0,0
